config,qa_id,question_type,query_log_id,n_gold,n_retrieved_passages,mrr,first_gold_rank,recall@1,precision@1,hit@1,ndcg@1,recall@3,precision@3,hit@3,ndcg@3,recall@5,precision@5,hit@5,ndcg@5,recall@10,precision@10,hit@10,ndcg@10,recall@20,precision@20,hit@20,ndcg@20,latency_ms,error
passage+bm25,44,yesno,4687ce18-6f95-4dc2-b048-25a299bef339,18,10,1.0,1,0.05555555555555555,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.2777777777777778,1.0,1.0,1.0,0.3333333333333333,0.6,1.0,0.7222954974312066,0.3333333333333333,0.3,1.0,0.4986602016149333,3894,
passage+bm25,201,factoid,b8e5797a-4cf0-4b34-af60-1b91a43765a4,8,10,1.0,1,0.125,1.0,1.0,1.0,0.25,0.6666666666666666,1.0,0.7653606369886217,0.5,0.8,1.0,0.830419897363192,0.75,0.6,1.0,0.7937341100537232,0.75,0.3,1.0,0.7937341100537232,527,
passage+bm25,1637,list,d2ecec30-893b-46b7-885e-491c28e917a3,11,10,0.3333333333333333,3,0.0,0.0,0.0,0.0,0.09090909090909091,0.3333333333333333,1.0,0.23463936301137822,0.09090909090909091,0.2,1.0,0.16958010263680806,0.09090909090909091,0.1,1.0,0.11004588314904008,0.09090909090909091,0.05,1.0,0.1036806144573329,411,
passage+bm25,4554,summary,4c80a68b-b84f-4072-8e99-3ade6c032ab1,2,10,1.0,1,0.5,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.6131471927654584,0.5,0.2,1.0,0.6131471927654584,0.5,0.1,1.0,0.6131471927654584,0.5,0.05,1.0,0.6131471927654584,405,
passage+bm25,4157,yesno,47c34707-0344-4681-af29-720c8cddddab,1,10,1.0,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,835,
passage+hybrid,44,yesno,d1b84e99-47d6-48fa-9dec-49a3344682bc,18,10,1.0,1,0.05555555555555555,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.2777777777777778,1.0,1.0,1.0,0.4444444444444444,0.8,1.0,0.8669479898642709,0.4444444444444444,0.4,1.0,0.5985257570521587,9292,
passage+hybrid,201,factoid,9294e55f-857a-485f-a1a6-943199d41c2e,8,10,1.0,1,0.125,1.0,1.0,1.0,0.375,1.0,1.0,1.0,0.625,1.0,1.0,1.0,0.75,0.6,1.0,0.8358912271816661,0.75,0.3,1.0,0.8358912271816661,1481,
passage+hybrid,1637,list,f92a5557-888f-44c7-8b05-289fbc953c80,11,10,0.2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2,1.0,0.13120507751234178,0.18181818181818182,0.2,1.0,0.15457433957839825,0.18181818181818182,0.1,1.0,0.14563345804694522,1271,
passage+hybrid,4554,summary,e826df01-4b4a-4520-b452-b161c15a3ee3,2,10,1.0,1,0.5,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.6131471927654584,0.5,0.2,1.0,0.6131471927654584,0.5,0.1,1.0,0.6131471927654584,0.5,0.05,1.0,0.6131471927654584,1090,
passage+hybrid,4157,yesno,ec06d3c4-81b7-417b-8091-03f3c64af9d0,1,10,1.0,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1121,
